code,name,description,refreshed_at,from_date,to_date
BAXG2009,"Three-Month Canadian Bankers' Acceptance Futures, February 2009 (BAXG2009)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2009. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:18:41,2009-01-02,2009-02-13
BAXG2010,"Three-Month Canadian Bankers' Acceptance Futures, February 2010 (BAXG2010)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2010. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:50:51,2009-11-17,2010-02-12
BAXG2011,"Three-Month Canadian Bankers' Acceptance Futures, February 2011 (BAXG2011)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2011. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:53:30,2010-11-16,2011-02-14
BAXG2012,"Three-Month Canadian Bankers' Acceptance Futures, February 2012 (BAXG2012)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2012. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:05:15,2011-11-15,2012-02-13
BAXG2013,"Three-Month Canadian Bankers' Acceptance Futures, February 2013 (BAXG2013)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2013. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 04:51:30,2012-11-20,2013-02-15
BAXG2014,"Three-Month Canadian Bankers' Acceptance Futures, February 2014 (BAXG2014)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2014. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2014-02-19 01:02:51,2013-11-19,2014-02-14
BAXG2015,"Three-Month Canadian Bankers' Acceptance Futures, February 2015 (BAXG2015)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2015. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2015-02-17 22:22:33,2014-11-18,2015-02-13
BAXG2016,"Three-Month Canadian Bankers' Acceptance Futures, February 2016 (BAXG2016)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2016. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2016-02-16 21:24:02,2015-11-17,2016-02-12
BAXG2017,"Three-Month Canadian Bankers' Acceptance Futures, February 2017 (BAXG2017)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2017. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2017-02-14 21:12:55,2016-11-15,2017-02-13
BAXG2018,"Three-Month Canadian Bankers' Acceptance Futures, February 2018 (BAXG2018)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2018. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2018-02-20 22:13:48,2017-11-10,2018-02-16
BAXG2019,"Three-Month Canadian Bankers' Acceptance Futures, February 2019 (BAXG2019)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2019. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2019-02-15 22:09:33,2018-11-20,2019-02-14
BAXG2020,"Three-Month Canadian Bankers' Acceptance Futures, February 2020 (BAXG2020)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, February 2020. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-02-18 22:12:26,2019-11-19,2020-02-14
BAXH2009,"Three-Month Canadian Bankers' Acceptance Futures, March 2009 (BAXH2009)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2009. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:17:41,2009-01-02,2009-03-16
BAXH2010,"Three-Month Canadian Bankers' Acceptance Futures, March 2010 (BAXH2010)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2010. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:52:36,2009-01-02,2010-03-15
BAXH2011,"Three-Month Canadian Bankers' Acceptance Futures, March 2011 (BAXH2011)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2011. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:52:13,2009-01-02,2011-03-14
BAXH2012,"Three-Month Canadian Bankers' Acceptance Futures, March 2012 (BAXH2012)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2012. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:07:57,2009-03-17,2012-03-19
BAXH2013,"Three-Month Canadian Bankers' Acceptance Futures, March 2013 (BAXH2013)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2013. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:04:13,2010-03-16,2013-03-18
BAXH2014,"Three-Month Canadian Bankers' Acceptance Futures, March 2014 (BAXH2014)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2014. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2014-03-19 00:25:06,2011-03-15,2014-03-17
BAXH2015,"Three-Month Canadian Bankers' Acceptance Futures, March 2015 (BAXH2015)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2015. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2015-03-17 21:13:51,2012-03-20,2015-03-16
BAXH2016,"Three-Month Canadian Bankers' Acceptance Futures, March 2016 (BAXH2016)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2016. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2016-03-15 21:13:18,2013-03-19,2016-03-14
BAXH2017,"Three-Month Canadian Bankers' Acceptance Futures, March 2017 (BAXH2017)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2017. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2017-03-14 21:12:54,2014-04-10,2017-03-13
BAXH2018,"Three-Month Canadian Bankers' Acceptance Futures, March 2018 (BAXH2018)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2018. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2018-03-20 21:13:05,2015-03-17,2018-03-19
BAXH2019,"Three-Month Canadian Bankers' Acceptance Futures, March 2019 (BAXH2019)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2019. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2019-03-18 21:09:15,2016-03-15,2019-03-15
BAXH2020,"Three-Month Canadian Bankers' Acceptance Futures, March 2020 (BAXH2020)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2020. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-03-17 21:09:19,2017-03-14,2020-03-16
BAXH2021,"Three-Month Canadian Bankers' Acceptance Futures, March 2021 (BAXH2021)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2021. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-03-26 11:09:24,2018-10-17,2020-03-25
BAXH2022,"Three-Month Canadian Bankers' Acceptance Futures, March 2022 (BAXH2022)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2022. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-03-26 11:09:24,2019-03-19,2020-03-25
BAXH2023,"Three-Month Canadian Bankers' Acceptance Futures, March 2023 (BAXH2023)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, March 2023. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-03-26 11:09:24,2020-03-17,2020-03-25
BAXJ2009,"Three-Month Canadian Bankers' Acceptance Futures, April 2009 (BAXJ2009)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2009. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:18:02,2009-01-20,2009-04-09
BAXJ2010,"Three-Month Canadian Bankers' Acceptance Futures, April 2010 (BAXJ2010)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2010. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:55:07,2010-01-19,2010-04-19
BAXJ2011,"Three-Month Canadian Bankers' Acceptance Futures, April 2011 (BAXJ2011)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2011. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:53:44,2011-01-18,2011-04-18
BAXJ2012,"Three-Month Canadian Bankers' Acceptance Futures, April 2012 (BAXJ2012)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2012. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:03:34,2012-01-17,2012-04-16
BAXJ2013,"Three-Month Canadian Bankers' Acceptance Futures, April 2013 (BAXJ2013)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2013. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 04:51:37,2013-01-15,2013-04-15
BAXJ2014,"Three-Month Canadian Bankers' Acceptance Futures, April 2014 (BAXJ2014)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2014. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2014-04-16 00:23:51,2014-04-10,2014-04-14
BAXJ2015,"Three-Month Canadian Bankers' Acceptance Futures, April 2015 (BAXJ2015)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2015. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2015-04-14 21:14:36,2015-01-20,2015-04-13
BAXJ2016,"Three-Month Canadian Bankers' Acceptance Futures, April 2016 (BAXJ2016)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2016. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2016-04-19 21:14:03,2016-01-19,2016-04-18
BAXJ2017,"Three-Month Canadian Bankers' Acceptance Futures, April 2017 (BAXJ2017)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2017. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2017-04-17 21:12:45,2017-01-17,2017-04-13
BAXJ2018,"Three-Month Canadian Bankers' Acceptance Futures, April 2018 (BAXJ2018)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2018. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2018-04-17 21:11:02,2018-01-16,2018-04-16
BAXJ2019,"Three-Month Canadian Bankers' Acceptance Futures, April 2019 (BAXJ2019)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2019. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2019-04-15 21:09:30,2019-01-15,2019-04-12
BAXJ2020,"Three-Month Canadian Bankers' Acceptance Futures, April 2020 (BAXJ2020)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, April 2020. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-03-26 11:09:24,2020-01-14,2020-03-25
BAXK2009,"Three-Month Canadian Bankers' Acceptance Futures, May 2009 (BAXK2009)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2009. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:16:47,2009-02-17,2009-05-15
BAXK2010,"Three-Month Canadian Bankers' Acceptance Futures, May 2010 (BAXK2010)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2010. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:51:13,2010-02-16,2010-05-17
BAXK2011,"Three-Month Canadian Bankers' Acceptance Futures, May 2011 (BAXK2011)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2011. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:56:11,2011-02-15,2011-05-16
BAXK2012,"Three-Month Canadian Bankers' Acceptance Futures, May 2012 (BAXK2012)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2012. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:08:21,2012-02-14,2012-05-14
BAXK2013,"Three-Month Canadian Bankers' Acceptance Futures, May 2013 (BAXK2013)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2013. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 04:51:47,2013-02-19,2013-05-13
BAXK2014,"Three-Month Canadian Bankers' Acceptance Futures, May 2014 (BAXK2014)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2014. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2014-05-21 00:32:38,2014-04-10,2014-05-16
BAXK2015,"Three-Month Canadian Bankers' Acceptance Futures, May 2015 (BAXK2015)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2015. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2015-05-19 21:13:50,2015-02-17,2015-05-15
BAXK2016,"Three-Month Canadian Bankers' Acceptance Futures, May 2016 (BAXK2016)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2016. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2016-05-17 21:19:29,2016-02-16,2016-05-16
BAXK2017,"Three-Month Canadian Bankers' Acceptance Futures, May 2017 (BAXK2017)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2017. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2017-05-16 21:16:01,2017-02-14,2017-05-15
BAXK2018,"Three-Month Canadian Bankers' Acceptance Futures, May 2018 (BAXK2018)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2018. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2018-05-15 21:11:27,2018-02-20,2018-05-14
BAXK2019,"Three-Month Canadian Bankers' Acceptance Futures, May 2019 (BAXK2019)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2019. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2019-05-13 21:09:09,2019-02-19,2019-05-10
BAXK2020,"Three-Month Canadian Bankers' Acceptance Futures, May 2020 (BAXK2020)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, May 2020. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-03-26 11:09:24,2020-02-18,2020-03-25
BAXM2009,"Three-Month Canadian Bankers' Acceptance Futures, June 2009 (BAXM2009)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2009. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:20:26,2009-01-02,2009-06-15
BAXM2010,"Three-Month Canadian Bankers' Acceptance Futures, June 2010 (BAXM2010)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2010. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:59:06,2009-01-02,2010-06-14
BAXM2011,"Three-Month Canadian Bankers' Acceptance Futures, June 2011 (BAXM2011)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2011. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:58:36,2009-01-02,2011-06-13
BAXM2012,"Three-Month Canadian Bankers' Acceptance Futures, June 2012 (BAXM2012)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2012. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:05:05,2009-06-16,2012-06-18
BAXM2013,"Three-Month Canadian Bankers' Acceptance Futures, June 2013 (BAXM2013)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2013. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:03:52,2010-06-15,2013-06-17
BAXM2014,"Three-Month Canadian Bankers' Acceptance Futures, June 2014 (BAXM2014)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2014. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2014-06-18 00:07:17,2011-06-14,2014-06-16
BAXM2015,"Three-Month Canadian Bankers' Acceptance Futures, June 2015 (BAXM2015)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2015. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2015-06-17 03:47:16,2012-06-19,2015-06-15
BAXM2016,"Three-Month Canadian Bankers' Acceptance Futures, June 2016 (BAXM2016)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2016. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2016-06-14 21:14:16,2013-06-18,2016-06-13
BAXM2017,"Three-Month Canadian Bankers' Acceptance Futures, June 2017 (BAXM2017)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, June 2017. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2017-06-20 21:10:02,2014-06-17,2017-06-19
